formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
O2 Th1,2,0.3333,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,2.14,1.0088,1.2,0.5657,7.0,3.2998,8.0
Al4 Th2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,3.3333,0.31,0.1461,0.55,0.2593,6.0,2.8284,16.0
B16 Cr4 Th4,3,0.1667,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.1667,0.1667,3.1667,0.74,0.2837,0.95,0.3719,7.0,2.5658,14.0
Ge2 Pd2 Th1,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.9,0.333,0.55,0.2015,5.0,1.8547,16.0
F28 Th4 Tl12,3,0.0909,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0909,0.0,0.0,2.68,1.1767,1.4,0.662,7.0,2.4155,7.0
N2 S1 Th2,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.74,0.7952,1.15,0.5221,7.0,3.2863,6.0
Pd2 Si2 Th1,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.9,0.3286,0.7,0.2577,6.0,2.1909,15.0
Mn2 Si2 Th1,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.6,0.2311,0.7,0.2577,6.0,2.245,14.0
Au2 Th1,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,3.3333,1.24,0.5845,0.45,0.2121,3.0,1.4142,14.0
B12 Th1,2,0.0769,0.0,0.0,0.0,0.0,0.0,0.9231,0.0,0.0769,0.0,3.0769,0.74,0.1972,0.95,0.2531,7.0,1.8653,24.0
N4 Th3,2,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.0,1.74,0.8611,1.15,0.5691,7.0,3.4641,6.0
Ag2 Th4,2,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,3.0,0.63,0.297,0.2,0.0943,4.0,1.8856,9.0
