formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
K8 O40 P8 Ti8,4,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,-1.0,2.62,0.9922,1.6,0.5454,2.0,0.857,5.0
Al2 Au2 Ti2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.3333,1.0,0.4558,0.15,0.0624,3.0,1.2472,13.0
Ba1 F6 Ti1,3,0.0,0.0,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.125,0.0,3.09,1.2083,1.65,0.5831,4.0,1.3919,6.0
Br6 Cs2 Ti2,3,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.4,2.17,0.9108,1.45,0.5634,2.0,0.8,7.0
C2 In2 Ti4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.75,1.01,0.4144,0.85,0.3305,3.0,1.0897,6.0
Na2 O1 Sb2 Ti2,4,0.0,0.2857,0.0,0.1429,0.0,0.0,0.2857,0.0,0.0,0.2857,0.2857,2.51,0.7984,1.2,0.371,3.0,1.0302,5.0
Ca6 O14 Ti4,3,0.0,0.0,0.25,0.5833,0.0,0.0,0.0,0.0,0.0,0.1667,-0.0,2.44,1.1097,1.2,0.5281,2.0,0.986,6.0
C4 Ti8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.3333,1.01,0.4761,0.7,0.33,2.0,0.9428,6.0
Na2 O28 Sb4 Sm6 Ti4,5,0.0,0.0455,0.0,0.6364,0.0,0.1364,0.0909,0.0,0.1364,0.0909,-0.7273,2.51,0.9852,1.25,0.5116,6.0,2.0973,6.0
Na16 O28 Ti10,3,0.0,0.2963,0.0,0.5185,0.0,0.0,0.0,0.0,0.0,0.1852,0.0,2.51,1.1554,1.2,0.5399,2.0,0.7698,4.7999999999999998
Ba4 O44 Ti20,3,0.0,0.0,0.0588,0.6471,0.0,0.0,0.0,0.0,0.0,0.2941,0.0,2.55,0.9705,1.55,0.4722,4.0,1.1998,5.0
Na4 O20 P4 Ti4,4,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,-1.0,2.51,0.9662,1.2,0.4359,2.0,0.7071,5.0
Cl16 Ti4,2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,1.62,0.648,0.4,0.16,1.0,0.4,4.0
F20 H32 N8 Ti4,4,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0625,-0.9375,2.44,0.8492,1.15,0.2867,3.0,0.7806,6.0
Sn2 Ti6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,0.42,0.1819,0.05,0.0217,1.0,0.433,12.0
Na2 Nd2 O10 Ti3,4,0.0,0.1176,0.0,0.5882,0.0,0.1176,0.0,0.0,0.1176,0.1765,0.0,2.51,1.0902,1.25,0.5308,6.0,1.917,5.333333333333333
