formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
S8 Sb4 Tl4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-1.5,0.96,0.4023,0.9,0.3731,3.0,1.299,7.0
Nd3 Pd3 Tl3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.0,1.06,0.4334,0.5,0.2248,3.0,1.2472,8.0
Pd13 Tl9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5909,1.5909,0.58,0.2852,0.5,0.2458,1.0,0.4917,9.1111111111111107
Sn8 Te24 Tl16,3,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-1.3333,0.48,0.2155,0.5,0.2305,1.0,0.4714,8.0
Cd4 I14 Tl6,3,0.0,0.0,0.0,0.0,0.5833,0.0,0.0,0.0,0.0,0.1667,-0.0,1.04,0.4994,0.5,0.2092,1.0,0.433,7.666666666666667
F28 Th4 Tl12,3,0.0909,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0909,0.0,0.0,2.68,1.1767,1.4,0.662,7.0,2.4155,7.0
Cu2 Hf2 Se6 Tl2,4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,1.25,0.5025,0.75,0.2765,2.0,0.9428,9.0
Na16 Tl8,2,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.69,0.3253,0.1,0.0471,3.0,1.4142,9.0
F10 H4 Mn2 O2 Tl4,5,0.0,0.0,0.0,0.0909,0.4545,0.0,0.0,0.0,0.0,0.0909,-0.4545,2.43,1.0517,1.65,0.5935,5.0,1.7104,8.0
Br16 K4 Tl4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.3333,2.14,0.8521,1.05,0.433,2.0,0.7454,4.0
Cl8 Tl4,2,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,-0.3333,1.54,0.726,0.9,0.4243,3.0,1.4142,6.5
Cl10 Co2 Tl6,3,0.0,0.0,0.0,0.0,0.5556,0.0,0.0,0.0,0.0,0.1111,-0.0,1.54,0.7368,0.9,0.4108,3.0,1.3699,8.0
S4 Ta1 Tl3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.08,0.4964,0.9,0.4172,3.0,1.5,7.0
Al1 Mo2 O8 Tl1,4,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1667,-0.3333,1.83,0.7486,1.3,0.4516,4.0,1.441,12.0
Tb4 Tl2,2,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,2.3333,1.62,0.7637,0.15,0.0707,2.0,0.9428,8.0
Au2 P2 S8 Tl4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.75,0.96,0.4041,0.9,0.3816,3.0,1.4524,6.5
Mo4 O16 Pr2 Tl2,4,0.0,0.0,0.0,0.6667,0.0,0.0833,0.0,0.0,0.0833,0.1667,-0.3333,2.31,0.8264,1.3,0.5158,6.0,2.0138,9.0
Gd3 Pd3 Tl3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.0,1.0,0.41,0.5,0.216,3.0,1.2472,8.0
F4 Tl4,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.36,1.18,1.4,0.7,4.0,2.0,6.0
Pr3 Tl1,2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,2.5,0.49,0.2122,0.05,0.0217,2.0,0.866,12.0
Cr4 O14 Tl4,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.1818,-0.5455,1.82,0.866,1.3,0.5271,4.0,1.5641,7.5
Al26 S42 Tl6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.4796,0.9,0.2485,3.0,0.8189,9.0
Al1 F4 Tl1,3,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,2.37,1.1149,1.4,0.5404,4.0,1.4625,10.0
C1 Sc3 Tl1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,1.19,0.4611,1.2,0.4069,4.0,1.2649,12.0
N6 Tl2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.42,0.6149,1.25,0.5413,4.0,1.7321,9.0
