formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Co4 Tm2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,0.63,0.297,0.4,0.1886,4.0,1.8856,16.0
Cu2 Eu2 S6 Tm2,4,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.1667,0.1667,2.58,0.9466,0.85,0.3591,5.0,2.2669,7.0
Mg1 Tm1,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2.5,0.06,0.03,0.25,0.125,5.0,2.5,10.0
Te2 Tm2,2,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.85,0.425,0.35,0.175,3.0,1.5,7.0
Hg1 Tm1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.0,0.75,0.375,0.25,0.125,2.0,1.0,10.0
B8 Cu2 O20 Tm4,4,0.0,0.0,0.0,0.5882,0.0,0.1176,0.2353,0.0,0.1176,0.0588,-0.0,2.19,0.8401,1.15,0.3829,6.0,1.9474,7.0
Pt1 Sb1 Tm1,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,1.03,0.4414,0.4,0.17,3.0,1.2472,8.0
As4 Cu2 Tm2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.25,0.93,0.3799,0.6,0.2449,4.0,1.7321,9.0
Ba4 O20 Tm8 Zn4,4,0.0,0.0,0.1111,0.5556,0.0,0.2222,0.0,0.0,0.2222,0.1111,-0.0,2.55,1.098,1.55,0.6017,6.0,2.4944,7.0
C1 In1 Tm3,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,1.6,1.3,0.5101,1.05,0.4074,6.0,2.4,6.0
C2 Co2 Tm2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,1.3,0.5308,1.05,0.4327,6.0,2.4944,7.0
Ba4 Te16 Tm8,3,0.0,0.0,0.1429,0.5714,0.0,0.2857,0.5714,0.0,0.2857,0.0,0.0,1.21,0.4927,0.75,0.2692,3.0,1.3093,6.0
B2 Ni8 Tm2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,0.0,0.1667,0.6667,2.3333,0.79,0.26,0.9,0.2609,6.0,1.7951,15.5
Na1 S2 Tm1,3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.65,0.7535,0.8,0.3879,5.0,2.1651,6.0
