formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Li8 O16 U4,3,0.1429,0.2857,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,2.46,1.158,1.15,0.4792,7.0,2.4495,5.0
Na4 O5 U1,3,0.1,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.51,1.2167,1.2,0.5952,7.0,2.0224,6.0
Ru4 Sn2 U4,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.8,0.82,0.373,0.45,0.2035,4.0,1.9596,8.0
B2 Ir3 U1,3,0.1667,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.1667,0.5,3.5,0.82,0.2907,0.9,0.3162,7.0,2.4777,14.0
N2 P1 U2,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,1.66,0.7424,1.1,0.4984,7.0,3.2863,6.0
Na2 O4 U1,3,0.1429,0.2857,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,2.51,1.1761,1.2,0.5858,7.0,2.3733,5.0
Ir4 U2,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,4.0,0.82,0.3866,0.4,0.1886,3.0,1.4142,16.0
Ir8 U8,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,4.5,0.82,0.41,0.4,0.2,3.0,1.5,7.0
Mn2 Se6 U2,3,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.2,0.4,1.17,0.5343,0.6,0.2358,5.0,2.0,9.0
Cs2 F18 U4,3,0.1667,0.0833,0.0,0.0,0.75,0.0,0.0,0.0,0.1667,0.0,0.3333,3.19,1.219,2.1,0.6935,7.0,2.6926,7.0
Mn2 O8 U2,3,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.1667,0.0,2.06,0.9323,1.15,0.4706,7.0,2.5658,5.0
Mn12 P7 U2,3,0.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952,0.5714,0.7143,0.81,0.3169,0.75,0.2345,6.0,1.6413,13.5
Pb2 U2,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.0,0.95,0.475,0.05,0.025,3.0,1.5,11.0
S4 Sc2 U2,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.25,1.22,0.605,0.75,0.3416,6.0,2.4875,6.0
Li2 O4 U1,3,0.1429,0.2857,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,2.46,1.158,1.15,0.4792,7.0,2.4495,5.0
N4 U2 Zr2,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.71,0.8427,1.1,0.505,7.0,2.8723,6.0
Ba2 Co1 O6 U1,4,0.1,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.55,1.099,1.55,0.6473,7.0,2.3685,6.0
O3 U1,2,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,2.06,0.892,1.15,0.498,7.0,3.0311,6.0
C4 Fe2 U2,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,1.17,0.4986,1.05,0.4547,7.0,2.8614,7.0
Cl8 U2,2,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.4,1.78,0.712,0.75,0.3,6.0,2.4,7.0
