formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Na1 Se2 V1,3,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.62,0.6815,0.65,0.2655,1.0,0.433,6.0
O24 P8 V2,3,0.0,0.0,0.0,0.7059,0.0,0.0,0.0,0.0,0.0,0.0588,-1.8235,1.81,0.6324,0.75,0.2272,2.0,0.5882,6.0
Cs4 O24 Sr2 V8,4,0.0,0.1053,0.0526,0.6316,0.0,0.0,0.0,0.0,0.0,0.2105,-0.0,2.65,1.0628,2.0,0.6687,4.0,1.4142,4.0
Li2 O10 P2 V2,4,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,-0.875,2.46,0.9408,0.85,0.3437,2.0,0.696,4.0
K3 O4 V1,3,0.0,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.0,2.62,1.2339,1.6,0.741,2.0,1.0,4.0
O8 P2 V2,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1667,-1.0,1.81,0.7391,0.75,0.2893,2.0,0.7638,6.0
P4 V8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.3333,0.56,0.264,0.35,0.165,1.0,0.4714,8.0
O12 Rb4 V4,3,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.62,1.1149,1.75,0.6892,3.0,1.2649,4.0
Li2 O8 Rb4 V2,4,0.0,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.0,2.62,1.212,1.75,0.721,3.0,1.3229,4.0
K4 O16 V6,3,0.0,0.1538,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.2308,0.0769,2.62,1.067,1.6,0.5898,2.0,0.973,4.0
O56 Sr16 V16,3,0.0,0.0,0.1818,0.6364,0.0,0.0,0.0,0.0,0.0,0.1818,0.0,2.49,1.0544,1.4,0.553,3.0,1.2398,4.0
Rh2 V6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.65,0.2815,0.0,0.0,1.0,0.433,8.0
Ca2 O18 V8,3,0.0,0.0,0.0714,0.6429,0.0,0.0,0.0,0.0,0.0,0.2857,0.2857,2.44,0.9398,1.2,0.4166,2.0,0.9583,4.0
K4 O24 Sr2 V8,4,0.0,0.1053,0.0526,0.6316,0.0,0.0,0.0,0.0,0.0,0.2105,-0.0,2.62,1.0573,1.6,0.5754,3.0,1.0553,4.0
Cl8 N2 V2,3,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,-0.3333,1.53,0.563,0.7,0.2021,2.0,0.5774,4.0
Al3 V1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.5,0.02,0.0087,0.1,0.0433,1.0,0.433,10.0
Li56 N32 V8,3,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,2.06,0.9492,0.8,0.3722,2.0,0.5528,5.0
Li4 O32 P8 V4,4,0.0,0.0833,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0833,-1.3333,2.46,0.8482,0.85,0.3062,2.0,0.6236,5.0
O18 Re4 V2,3,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,-0.4167,1.81,0.7087,0.75,0.3248,4.0,1.5184,4.0
O32 V16,2,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,1.81,0.8532,0.75,0.3536,2.0,0.9428,5.0
Ag2 Rb4 Se8 V2,4,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.73,0.7152,1.2,0.4949,1.0,0.4841,5.0
C4 V8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.0,0.92,0.4337,0.65,0.3064,2.0,0.9428,6.0
O28 P8 Rb4 V4,4,0.0,0.0909,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.0909,-1.2727,2.62,0.8995,1.75,0.5183,3.0,0.9791,6.0
Rh2 V2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.65,0.325,0.0,0.0,1.0,0.5,11.0
Si2 V6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,2.75,0.27,0.1169,0.25,0.1083,1.0,0.433,8.0
B4 V6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,4.2,0.41,0.2009,0.5,0.2449,2.0,0.9798,9.3333333333333339
As2 C2 V6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.6,1.6,0.92,0.3786,0.65,0.2522,2.0,0.8,6.0
O48 P12 V8,3,0.0,0.0,0.0,0.7059,0.0,0.0,0.0,0.0,0.0,0.1176,-1.3529,1.81,0.6879,0.75,0.263,2.0,0.691,6.0
Sb4 V6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,1.8,0.42,0.2058,0.1,0.049,1.0,0.4899,9.0
F4 Na2 O4 V2,4,0.0,0.1667,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.1667,-0.0,3.05,1.1839,1.3,0.502,2.0,0.7638,4.0
O8 Pb3 V2,3,0.0,0.0,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.1538,0.0,1.81,0.7089,1.2,0.5147,4.0,1.6712,4.0
Li2 O40 P12 V6,4,0.0,0.0333,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1,-1.4,2.46,0.7607,0.85,0.2806,2.0,0.6633,5.333333333333333
Bi4 Mg8 O24 V4,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.13,0.9358,1.0,0.4384,4.0,1.249,4.0
O36 P12 V4,3,0.0,0.0,0.0,0.6923,0.0,0.0,0.0,0.0,0.0,0.0769,-1.6923,1.81,0.6555,0.75,0.2402,2.0,0.6249,6.0
