formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
La4 O18 W4,3,0.0,0.0,0.0,0.6923,0.0,0.1538,0.0,0.0,0.1538,0.3077,-0.3077,2.34,0.8631,1.35,0.5124,6.0,2.3734,5.0
Ho6 O12 W1,3,0.0,0.0,0.0,0.6316,0.0,0.3158,0.0,0.0,0.3158,0.0526,-0.1053,2.21,1.0169,1.15,0.534,6.0,2.789,6.0
O49 W18,2,0.0,0.0,0.0,0.7313,0.0,0.0,0.0,0.0,0.0,0.2687,-0.3881,1.08,0.4787,0.75,0.3324,4.0,1.773,5.4444444444444446
Cr1 N2 W1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,1.38,0.5714,0.75,0.3629,4.0,1.6583,7.0
B2 W1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,3.3333,0.32,0.1508,0.5,0.2357,4.0,1.8856,14.0
Br30 W6,2,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.0,0.1667,-0.1667,0.6,0.2236,0.2,0.0745,2.0,0.7454,5.0
Cl6 La6 O12 W2,4,0.0,0.0,0.0,0.4615,0.2308,0.2308,0.0,0.0,0.2308,0.3077,-0.1538,2.34,0.9479,1.35,0.5364,6.0,2.4639,6.0
Li4 O24 Sb4 W4,4,0.0,0.1111,0.0,0.6667,0.0,0.0,0.1111,0.0,0.0,0.1111,-1.1111,2.46,0.8465,0.85,0.3859,4.0,1.4741,5.0
Cr2 Na2 O16 W4,4,0.0,0.0833,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.25,-0.3333,2.51,0.8334,1.2,0.4266,4.0,1.4977,5.0
B4 W4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,3.5,0.32,0.16,0.5,0.25,4.0,2.0,9.0
Br18 Te2 W2,3,0.0,0.0,0.0,0.0909,0.8182,0.0,0.0909,0.0,0.0,0.0909,-0.6364,0.86,0.287,0.25,0.0874,2.0,0.6166,6.0
Na3 O30 W10,3,0.0,0.0698,0.0,0.6977,0.0,0.0,0.0,0.0,0.0,0.2326,-0.3953,2.51,0.7274,1.2,0.4058,4.0,1.6705,6.0
K2 Lu2 O16 W4,4,0.0,0.0833,0.0,0.6667,0.0,0.0833,0.0,0.0,0.0833,0.1667,-0.3333,2.62,0.9074,1.6,0.5402,4.0,1.724,5.0
H8 O16 W4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-0.8571,1.24,0.5893,1.1,0.3396,5.0,1.5779,5.0
Na2 O13 W4,3,0.0,0.1053,0.0,0.6842,0.0,0.0,0.0,0.0,0.0,0.2105,-0.4211,2.51,0.8167,1.2,0.435,4.0,1.605,5.0
Cu2 S4 W1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.68,0.2968,0.35,0.1732,3.0,1.0302,6.0
Ba4 F8 O6 W2,4,0.0,0.0,0.2,0.3,0.4,0.0,0.0,0.0,0.0,0.1,-0.2,3.09,1.1714,1.65,0.6494,4.0,1.833,5.0
C8 U4 W4,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,1.17,0.4854,1.05,0.4479,7.0,2.9475,6.0
O48 Sc8 W12,3,0.0,0.0,0.0,0.7059,0.0,0.0,0.0,0.0,0.0,0.2941,-0.3529,2.08,0.7248,1.0,0.393,4.0,1.5519,4.0
Ca4 Mn2 O12 W2,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,2.44,1.0239,1.2,0.5022,4.0,1.3416,6.0
K4 O8 W2,3,0.0,0.2857,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-0.2857,2.62,1.1457,1.6,0.7024,4.0,1.4569,4.0
Cl4 O1 W1,3,0.0,0.0,0.0,0.1667,0.6667,0.0,0.0,0.0,0.0,0.1667,-0.3333,1.08,0.335,0.75,0.2168,4.0,1.2472,4.0
O44 P8 W8,3,0.0,0.0,0.0,0.7333,0.0,0.0,0.0,0.0,0.0,0.1333,-1.3333,1.25,0.517,0.75,0.2699,4.0,1.3499,5.0
Cl18 W3,2,0.0,0.0,0.0,0.0,0.8571,0.0,0.0,0.0,0.0,0.1429,-0.2857,0.8,0.2799,0.35,0.1225,3.0,1.0498,6.0
Na3 O6 W4,3,0.0,0.2308,0.0,0.4615,0.0,0.0,0.0,0.0,0.0,0.3077,0.5385,2.51,0.9909,1.2,0.4976,4.0,1.7372,4.0
Na10 O32 W8 Y2,4,0.0,0.1923,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.1923,-0.3077,2.51,1.0205,1.2,0.5147,4.0,1.4656,4.0
Ba2 Mg1 O6 W1,4,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,2.55,1.0864,1.55,0.6262,4.0,1.7916,6.0
B2 Co1 W2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,3.2,0.48,0.192,0.5,0.2449,4.0,1.7889,10.0
W1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
B5 W2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.7143,0.0,0.0,0.2857,3.2857,0.32,0.1446,0.5,0.2259,4.0,1.807,11.0
La2 O16 Rb2 W4,4,0.0,0.0833,0.0,0.6667,0.0,0.0833,0.0,0.0,0.0833,0.25,-0.3333,2.62,0.9331,1.75,0.5949,6.0,2.0999,5.0
W4 Zr2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.03,0.4855,0.2,0.0943,1.0,0.4714,10.0
Na4 O14 W4,3,0.0,0.1818,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.1818,-0.3636,2.51,0.9651,1.2,0.4883,4.0,1.5048,5.0
Cl8 S2 W2,3,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,-0.3333,0.8,0.3314,0.35,0.1304,3.0,1.118,4.0
F2 Li2 O8 P2 W2,5,0.0,0.125,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.125,-0.875,3.0,0.9229,0.95,0.3542,4.0,1.317,6.0
O24 W8,2,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,-0.5,1.08,0.4677,0.75,0.3248,4.0,1.7321,5.0
B14 W2 Y6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,0.0,0.0,0.3636,3.0909,1.14,0.3935,0.95,0.4197,4.0,1.5851,11.0
Ba6 O18 W4,3,0.0,0.0,0.2143,0.6429,0.0,0.0,0.0,0.0,0.0,0.1429,-0.2857,2.55,1.0339,1.55,0.6342,4.0,1.9166,5.0
I12 O4 W4,3,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2,-0.2,1.08,0.3612,0.8,0.3156,4.0,1.3565,4.0
F2 Li4 O8 P2 W2,5,0.0,0.2222,0.0,0.4444,0.1111,0.0,0.0,0.0,0.0,0.1111,-0.6667,3.0,1.0605,0.95,0.3855,4.0,1.2571,5.0
Cl18 W6,2,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0.8,0.3464,0.35,0.1516,3.0,1.299,7.0
