formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
F28 Ru4 Xe4,3,0.0,0.0,0.0,0.0,0.7778,0.0,0.0,0.1111,0.0,0.1111,-1000,1.78,0.6636,-1000,-1000,3.0,1.2472,4.0
As4 F28 Xe4,3,0.0,0.0,0.0,0.0,0.7778,0.0,0.1111,0.1111,0.0,0.0,-1000,1.8,0.6684,-1000,-1000,3.0,1.0657,4.0
F8 Xe2,2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,-1000,1.38,0.552,-1000,-1000,3.0,1.2,5.0
Cs4 F28 Xe4,3,0.0,0.1111,0.0,0.0,0.7778,0.0,0.0,0.1111,0.0,0.0,-1000,3.19,1.0414,-1000,-1000,4.0,1.4741,7.0
F36 Sb4 Xe4,3,0.0,0.0,0.0,0.0,0.8182,0.0,0.0909,0.0909,0.0,0.0,-1000,1.93,0.649,-1000,-1000,3.0,1.1571,5.0
Ag2 F18 Xe2,3,0.0,0.0,0.0,0.0,0.8182,0.0,0.0,0.0909,0.0,0.0909,-1000,2.05,0.6767,-1000,-1000,3.0,1.1571,7.0
F14 I2 Xe2,3,0.0,0.0,0.0,0.0,0.8889,0.0,0.0,0.1111,0.0,0.0,-1000,1.38,0.5614,-1000,-1000,3.0,1.2472,4.0
F32 N8 O8 Xe4,4,0.0,0.0,0.0,0.1538,0.6154,0.0,0.0,0.0769,0.0,0.0,-1000,1.38,0.4646,-1000,-1000,3.0,0.7994,7.0
F4 O4 Xe2,3,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.0,-1000,1.38,0.5054,-1000,-1000,3.0,1.2,5.0
F18 Sb2 Xe4,3,0.0,0.0,0.0,0.0,0.75,0.0,0.0833,0.1667,0.0,0.0,-1000,1.93,0.6892,-1000,-1000,3.0,1.299,4.0
F28 Sb4 Xe2,3,0.0,0.0,0.0,0.0,0.8235,0.0,0.1176,0.0588,0.0,0.0,-1000,1.93,0.6747,-1000,-1000,3.0,1.1437,5.0
F44 Nb4 Xe4,3,0.0,0.0,0.0,0.0,0.8462,0.0,0.0,0.0769,0.0,0.0769,-1000,2.38,0.7061,-1000,-1000,3.0,1.0824,6.0
F2 Xe1,2,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0,-1000,1.38,0.6505,-1000,-1000,3.0,1.4142,4.0
