formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ba2 O10 Pd2 Y4,4,0.0,0.0,0.1111,0.5556,0.0,0.0,0.0,0.0,0.0,0.3333,-0.0,2.55,1.0735,1.55,0.616,4.0,1.6405,6.0
F8 Li2 Y2,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,3.0,1.3594,1.3,0.5399,3.0,1.118,7.0
O36 P12 Y4,3,0.0,0.0,0.0,0.6923,0.0,0.0,0.0,0.0,0.0,0.0769,-1.8462,2.22,0.7272,1.2,0.3371,3.0,0.8427,6.0
Cu8 O20 Y8,3,0.0,0.0,0.0,0.5556,0.0,0.0,0.0,0.0,0.0,0.4444,-0.0,2.22,0.9613,1.2,0.5072,3.0,1.2862,5.0
Ni6 Si10 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.8,0.69,0.2735,0.7,0.2656,2.0,0.781,10.0
I10 Ru1 Y6,3,0.0,0.0,0.0,0.0,0.5882,0.0,0.0,0.0,0.0,0.4118,0.6471,1.44,0.6766,0.5,0.1969,0.0,0.0,6.0
Cr2 O8 Y2,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,-0.3333,2.22,0.9513,1.2,0.4853,3.0,1.2134,7.0
Al2 Y2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.39,0.195,0.55,0.275,2.0,1.0,9.0
Ba2 Bi1 O6 Y1,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,2.55,1.1096,1.55,0.666,4.0,1.8574,6.0
Co9 Y3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,0.66,0.2858,0.45,0.1949,1.0,0.433,14.0
Rh4 Si4 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.6667,1.06,0.4385,0.7,0.2896,2.0,0.9428,10.0
Fe1 Sb2 Y6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.0,0.0,0.7778,1.5556,0.83,0.3617,0.4,0.1734,1.0,0.3143,8.5
Sn4 Y4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.74,0.3034,0.45,0.1929,1.0,0.4714,9.0
Ge4 Mn4 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.3333,0.79,0.324,0.55,0.2321,1.0,0.4714,10.0
O14 Sn4 Y4,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.1818,-1.4545,2.22,0.9175,1.2,0.5042,3.0,1.4431,6.0
Ba2 Co4 O10 Y2,4,0.0,0.0,0.1111,0.5556,0.0,0.0,0.0,0.0,0.0,0.3333,-0.1111,2.55,1.021,1.55,0.5735,4.0,1.4741,8.0
B2 C1 Ni2 Y1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.5,1.5,1.33,0.3899,1.1,0.3841,3.0,1.2134,9.0
H21 Y10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3226,0.2903,0.98,0.4581,1.55,0.7246,4.0,1.8699,8.0
F6 K2 Na1 Y1,4,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.0,3.16,1.4892,1.7,0.7457,3.0,1.077,6.0
Y2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Ba12 O34 Ti8 Y4,4,0.0,0.0,0.2069,0.5862,0.0,0.0,0.0,0.0,0.0,0.2069,0.0,2.55,1.1377,1.55,0.6486,4.0,1.6631,6.0
Hg2 Y1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6667,0.78,0.3677,0.3,0.1414,1.0,0.4714,14.0
F4 Na4 Nb4 O24 Ti4 Y4,6,0.0,0.0909,0.0,0.5455,0.0909,0.0,0.0,0.0,0.0,0.2727,0.0,3.05,1.0787,1.3,0.5076,3.0,1.1923,6.0
Ni4 Si4 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.3333,0.69,0.3229,0.7,0.2896,2.0,0.8165,11.0
Re8 Si4 Y2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.7143,1.5714,0.68,0.238,0.7,0.2162,3.0,1.3093,12.0
O12 Sb2 Sr4 Y2,4,0.0,0.0,0.2,0.6,0.0,0.0,0.1,0.0,0.0,0.1,-0.8,2.49,1.09,1.4,0.6108,3.0,1.4697,6.0
F4 O40 Si12 Y12,4,0.0,0.0,0.0,0.5882,0.0588,0.0,0.1765,0.0,0.0,0.1765,-1.4118,2.76,0.952,1.3,0.4608,3.0,1.1254,6.666666666666667
Au2 In1 Y1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.0,1.32,0.5564,0.45,0.185,1.0,0.5,10.0
Eu2 N14 Si8 Y2,4,0.0,0.0,0.0,0.0,0.0,0.0769,0.3077,0.0,0.0769,0.0769,-2.4615,3.04,0.9168,1.2,0.4158,6.0,1.6641,6.0
Ba8 C8 F12 O24 Y4,5,0.0,0.0,0.1429,0.4286,0.2143,0.0,0.0,0.0,0.0,0.0714,-1.1429,3.09,1.0822,1.65,0.5997,4.0,1.5203,7.0
F2 O2 Y2,3,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,2.76,1.1943,1.3,0.5907,3.0,1.4142,7.0
Ir2 O12 Sr4 Y2,4,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,2.49,1.0836,1.4,0.6055,4.0,1.6155,6.0
Ag2 Ba2 Te6 Y2,4,0.0,0.0,0.1667,0.5,0.0,0.0,0.5,0.0,0.0,0.3333,0.0,1.21,0.4858,0.75,0.2765,1.0,0.3727,7.0
Cs2 Hg2 Se6 Y2,4,0.0,0.1667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333,-0.1667,1.76,0.7025,1.45,0.5239,2.0,0.8975,7.0
O24 Te4 Y8,3,0.0,0.0,0.0,0.7778,0.0,0.0,0.1111,0.0,0.0,0.2222,-0.8889,2.22,0.9393,1.2,0.5145,3.0,1.4142,6.0
Co4 Ga1 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8889,2.5556,0.66,0.3217,0.5,0.2291,1.0,0.4969,9.5
Tl3 Y1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,0.4,0.1732,0.1,0.0433,1.0,0.433,12.0
