formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
As2 O1 Yb4,3,0.0,0.0,0.0,0.1429,0.0,0.5714,0.2857,0.0,0.5714,0.0,0.5714,3.44,1.3441,1.15,0.4232,6.0,2.3905,6.0
Cu1 Ge4 O12 Yb2,4,0.0,0.0,0.0,0.6316,0.0,0.1053,0.2105,0.0,0.1053,0.0526,-1.6842,3.44,1.1167,1.15,0.4115,6.0,1.8712,6.0
Ga8 Ni2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.1667,2.8333,1.91,0.683,0.45,0.165,4.0,1.4907,11.0
Al2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.2,1.9,0.7139,0.65,0.2396,5.0,2.0,8.0
Cs1 K2 O8 P2 Yb1,5,0.0,0.2143,0.0,0.5714,0.0,0.0714,0.0,0.0,0.0714,0.0,-1.1429,3.44,1.2549,2.0,0.7127,6.0,1.767,6.0
Li2 O4 Yb2,3,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,3.44,1.5151,1.15,0.5111,6.0,2.5981,nan
Cu2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,1.9,0.76,0.65,0.2379,5.0,1.8547,15.0
Mn2 S8 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.2857,0.1429,0.0,2.58,1.1276,0.75,0.3315,5.0,2.1946,6.0
Ag3 Si3 Yb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.0,1.93,0.9028,0.65,0.2779,5.0,2.0548,10.0
Al2 Si4 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.2,1.9,0.8898,0.65,0.299,5.0,2.4495,10.0
As6 Rh7 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.2353,0.3529,0.0,0.2353,0.4118,0.8824,2.28,0.9486,0.6,0.2263,4.0,1.5317,12.0
F12 Yb4,2,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.25,0.0,0.0,3.98,1.7234,1.25,0.5413,6.0,2.5981,7.0
O1 Sn1 Yb3,3,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.6,0.0,0.6,3.44,1.4031,1.15,0.4454,6.0,2.4,6.0
Ga4 Ge4 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.6667,2.01,0.9041,0.5,0.2248,4.0,1.8856,8.5
Se12 Yb8,2,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,2.55,1.2492,0.6,0.2939,4.0,1.9596,6.0
Al4 Mo2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.2857,3.2857,2.16,0.6719,0.5,0.175,5.0,1.7496,10.0
Nd2 Se6 Yb2,3,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,2.55,1.0348,0.7,0.32,4.0,1.9596,6.0
Cd2 Sb2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,2.05,0.7651,0.3,0.1095,3.0,1.2,8.0
Ga4 Yb1,2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,3.0,1.81,0.724,0.45,0.18,4.0,1.6,15.0
Al20 Fe4 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0,0.0769,0.1538,2.8462,1.83,0.4458,0.5,0.1375,5.0,1.3368,14.0
In4 Rh4 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,3.0,2.28,0.9785,0.4,0.1633,3.0,1.4142,9.0
Ge8 Li4 Yb4,3,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,-1.0,2.01,0.8353,0.5,0.2046,6.0,2.1794,9.0
Pt4 Yb4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,2.28,0.9614,0.4,0.1886,4.0,1.633,10.0
O8 V2 Yb2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.1667,0.0,3.44,1.3239,1.15,0.4625,6.0,2.2111,7.0
O16 Sr4 Yb8,3,0.0,0.0,0.1429,0.5714,0.0,0.2857,0.0,0.0,0.2857,0.0,0.0,3.44,1.5732,1.4,0.6152,6.0,2.6419,6.0
La4 O12 Yb4,3,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.2,0.0,3.44,1.4579,1.35,0.6156,6.0,2.9394,6.0
Na1 S2 Yb1,3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,2.58,1.1074,0.8,0.3879,5.0,2.1651,6.0
Sb6 Yb8,2,0.0,0.0,0.0,0.0,0.0,0.5714,0.4286,0.0,0.5714,0.0,0.4286,2.05,1.0145,0.3,0.1485,3.0,1.4846,7.0
As3 Pd3 Yb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,2.2,1.0324,0.6,0.2461,4.0,1.6997,10.0
O2 Rb1 Yb1,3,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,3.44,1.5425,1.75,0.7554,6.0,2.4875,6.0
Ba2 O6 Sb1 Yb1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.1,0.0,0.1,0.0,-0.8,3.44,1.3004,1.55,0.6518,6.0,2.1932,12.0
Co4 Yb2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,1.88,0.8862,0.4,0.1886,4.0,1.8856,16.0
Ba2 Nb1 O6 Yb1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.1,0.0,3.44,1.321,1.55,0.6518,6.0,2.1932,6.0
Au1 Yb1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,3.0,2.54,1.27,0.4,0.2,2.0,1.0,10.0
S6 Yb4,2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,2.58,1.2639,0.75,0.3674,5.0,2.4495,6.0
Co8 Ga32 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0909,0.1818,2.8182,1.88,0.525,0.45,0.1279,4.0,1.1499,12.0
Li3 Pb3 Yb3,3,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,2.0,2.33,0.9552,0.35,0.1546,6.0,2.4944,11.0
Pt12 Sn20 Yb8,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.3,-0.8,2.28,0.8435,0.4,0.1418,3.0,1.1358,10.0
F4 O4 Yb4,3,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0,3.98,1.7628,1.25,0.5672,6.0,2.8284,7.0
In4 Pd2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,2.75,2.2,0.8489,0.35,0.1244,3.0,1.299,9.0
Pd3 Tl3 Yb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.0,2.2,0.931,0.5,0.2095,3.0,1.2472,10.0
Nb2 O8 Yb2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.1667,0.0,3.44,1.3275,1.15,0.4793,6.0,2.2913,8.0
Ge4 Yb8,2,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.6667,0.0,0.6667,2.01,0.9475,0.5,0.2357,4.0,1.8856,8.0
Mn2 Se8 Yb4,3,0.0,0.0,0.0,0.5714,0.0,0.2857,0.0,0.0,0.2857,0.1429,0.0,2.55,1.1141,0.6,0.2624,4.0,1.807,6.0
K1 Se2 Yb1,3,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,2.55,1.1086,1.05,0.4421,4.0,1.7321,6.0
O32 V16 Yb4,3,0.0,0.0,0.0,0.6154,0.0,0.0769,0.0,0.0,0.0769,0.3077,0.5385,3.44,1.1151,1.15,0.4158,6.0,1.6853,7.0
Sb6 Yb10,2,0.0,0.0,0.0,0.0,0.0,0.625,0.375,0.0,0.625,0.0,0.75,2.05,0.9925,0.3,0.1452,3.0,1.4524,8.1999999999999993
Cu4 Yb4,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,1.9,0.95,0.4,0.2,4.0,2.0,9.0
Fe4 O12 Yb4,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,-0.2,3.44,1.3657,1.15,0.4903,6.0,2.3324,7.0
Ce2 Se6 Yb2,3,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,2.55,1.0372,0.7,0.32,4.0,1.9596,6.0
Yb1 Zn1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,1.65,0.825,0.4,0.2,4.0,2.0,6.0
Mn2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,1.9,0.7075,0.65,0.2408,5.0,1.8547,13.0
Fe4 Yb2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,1.83,0.8627,0.35,0.165,4.0,1.8856,16.0
As4 Rh6 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.3636,0.0,0.0909,0.5455,0.8182,2.28,0.6456,0.6,0.1666,4.0,1.0833,13.0
Yb1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Pd1 Yb1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,2.2,1.1,0.35,0.175,3.0,1.5,10.0
Cd1 Cu4 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.8333,2.1667,1.9,0.6967,0.4,0.1528,4.0,1.4625,16.0
In4 Rh2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,3.0,2.28,0.8673,0.4,0.1414,3.0,1.299,9.0
Rh8 Sn26 Yb6,3,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.2,-1.55,2.28,0.7374,0.4,0.122,3.0,1.0712,14.0
In4 Ni2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,2.75,1.91,0.7913,0.4,0.1414,4.0,1.5,8.0
Ba2 N14 Si8 Yb2,4,0.0,0.0,0.0769,0.0,0.0,0.0769,0.3077,0.0,0.0769,0.0,-2.4615,3.04,0.9507,1.5,0.4625,6.0,1.7742,6.0
Mg4 Pd4 Yb4,3,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.3333,2.2,0.9036,0.35,0.1472,5.0,2.0548,9.0
Mn4 O12 Yb4,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,-0.2,3.44,1.3946,1.15,0.4903,6.0,2.3324,7.0
Cu2 Ge2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,2.01,0.9227,0.5,0.216,4.0,1.8856,13.0
Au4 Yb1,2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.8,3.0,2.54,1.016,0.4,0.16,2.0,0.8,12.0
Ba4 Cu4 O20 Yb8,4,0.0,0.0,0.1111,0.5556,0.0,0.2222,0.0,0.0,0.2222,0.1111,-0.0,3.44,1.4595,1.55,0.6017,6.0,2.4944,7.0
Na2 P4 S12 Yb2,4,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,-1.4,2.58,0.8469,0.8,0.3102,5.0,1.5,7.0
K4 O28 P8 Yb4,4,0.0,0.0909,0.0,0.6364,0.0,0.0909,0.0,0.0,0.0909,0.0,-1.4545,3.44,1.174,1.6,0.5272,6.0,1.7297,6.0
Be4 Ni2 O20 Si4 Yb4,5,0.0,0.0,0.1176,0.5882,0.0,0.1176,0.1176,0.0,0.1176,0.0588,-0.9412,3.44,1.1907,1.15,0.3964,6.0,1.9242,7.0
Cu2 Si2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,1.9,0.8957,0.65,0.2677,5.0,2.1602,13.0
Ge4 Rh4 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,2.28,1.0172,0.5,0.216,4.0,1.6997,10.0
Ge24 Pd4 Yb8,3,0.0,0.0,0.0,0.0,0.0,0.2222,0.6667,0.0,0.2222,0.1111,-1.7778,2.2,0.8489,0.5,0.2043,4.0,1.633,8.0
Ni8 P4 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.5714,0.7143,2.19,0.7116,0.75,0.2367,5.0,1.5779,13.0
In1 Yb1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,3.0,1.78,0.89,0.2,0.1,3.0,1.5,10.0
Na10 Sn12 Yb1,3,0.0,0.4348,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.0,-1.5217,1.96,0.5866,0.35,0.1729,5.0,1.2586,15.0
Ge4 O14 Yb4,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.1818,0.0,0.1818,0.0,-1.4545,3.44,1.3188,1.15,0.4584,6.0,2.2709,6.0
Mg8 Yb4,2,0.0,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,2.3333,1.31,0.6175,0.25,0.1179,5.0,2.357,15.0
Mn6 O18 Yb6,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,-0.2,3.44,1.3946,1.15,0.4903,6.0,2.3324,7.0
Au1 Bi1 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,3.0,2.54,1.0956,0.4,0.165,2.0,0.9428,8.0
B6 O18 Yb6,3,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.0,0.2,0.0,0.0,3.44,1.3497,1.15,0.4456,6.0,2.4,7.333333333333333
Ag3 Sn3 Yb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.0,1.96,0.917,0.3,0.1225,3.0,1.4142,10.333333333333334
B6 Ni3 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.1818,0.5455,0.0,0.1818,0.2727,2.7273,2.04,0.7721,0.9,0.3542,6.0,2.2268,15.0
O18 Te3 Yb6,3,0.0,0.0,0.0,0.7778,0.0,0.2222,0.1111,0.0,0.2222,0.0,-0.8889,3.44,1.4125,1.15,0.4963,6.0,2.4944,5.5
Ag1 O2 Yb1,3,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.25,0.0,3.44,1.4132,1.15,0.5401,6.0,2.4875,6.0
Al32 Co8 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0909,0.1818,2.8182,1.88,0.4893,0.5,0.1432,5.0,1.4316,12.0
Pt3 Sn3 Yb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,2.28,1.0079,0.4,0.17,3.0,1.2472,10.0
Ge6 Yb10,2,0.0,0.0,0.0,0.0,0.0,0.625,0.375,0.0,0.625,0.0,0.375,2.01,0.9731,0.5,0.2421,4.0,1.9365,8.5999999999999996
O14 V4 Yb4,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.0,0.0,0.1818,0.1818,0.1818,3.44,1.355,1.15,0.4726,6.0,2.2709,6.0
Ge16 Yb20,2,0.0,0.0,0.0,0.0,0.0,0.5556,0.4444,0.0,0.5556,0.0,-0.1111,2.01,0.9988,0.5,0.2485,4.0,1.9876,7.2000000000000002
Fe4 P12 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0,0.0588,0.2353,-1.4706,2.19,0.5167,0.75,0.2272,5.0,1.194,14.0
Au2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,2.54,0.933,0.65,0.2379,5.0,1.9391,17.0
Pd2 Sn1 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.75,2.2,0.9232,0.35,0.1458,3.0,1.299,10.0
Ru2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,2.2,0.8309,0.65,0.2375,5.0,1.833,16.0
La2 S6 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.2,0.0,2.58,1.0536,0.95,0.4212,5.0,2.4495,6.0
Mn4 Si4 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,1.9,0.8256,0.65,0.2656,5.0,2.1602,10.0
Au4 Cd4 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.6667,2.54,1.0557,0.4,0.1633,3.0,1.2472,9.0
As1 Yb1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2.18,1.09,0.6,0.3,4.0,2.0,6.0
Mg2 S8 Yb4,3,0.0,0.0,0.1429,0.0,0.0,0.2857,0.0,0.0,0.2857,0.0,0.0,2.58,1.1351,0.75,0.3388,5.0,2.2588,6.0
Au4 Mg4 Yb4,3,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,2.54,1.0371,0.4,0.165,5.0,2.0548,9.0
Br4 Yb2,2,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0,0.3333,0.0,0.3333,2.96,1.3954,0.6,0.2828,4.0,1.8856,6.0
B2 Ru3 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.5,3.0,2.2,0.7992,0.9,0.3092,6.0,2.0616,11.0
O2 Se1 Yb2,3,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,3.44,1.5738,1.15,0.5144,6.0,2.7129,5.0
Al14 Au6 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0909,0.2727,3.0,2.54,0.6782,0.5,0.142,5.0,1.7628,16.0
P2 Yb1 Zn2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.2,2.19,0.8051,0.75,0.2782,5.0,1.8547,8.0
Ag2 S4 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,2.58,1.0572,0.75,0.3416,5.0,2.0463,nan
Ga4 Yb2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,3.0,1.81,0.8532,0.45,0.2121,4.0,1.8856,10.0
Cu18 Mg4 Yb2,3,0.0,0.0,0.1667,0.0,0.0,0.0833,0.0,0.0,0.0833,0.75,2.0833,1.9,0.5413,0.4,0.117,5.0,1.2134,13.0
Ca4 O16 Yb8,3,0.0,0.0,0.1429,0.5714,0.0,0.2857,0.0,0.0,0.2857,0.0,0.0,3.44,1.5681,1.2,0.5776,6.0,2.6186,6.0
Cu5 Yb1,2,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.8333,2.1667,1.9,0.7081,0.4,0.1491,4.0,1.4907,13.0
K2 O16 W4 Yb2,4,0.0,0.0833,0.0,0.6667,0.0,0.0833,0.0,0.0,0.0833,0.1667,-0.3333,3.44,1.1328,1.6,0.5402,6.0,2.0548,6.0
Bi2 Cu2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,2.02,0.9253,0.4,0.165,4.0,1.633,13.0
Pd2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,2.2,0.8309,0.65,0.2408,5.0,1.833,16.0
Cu4 S8 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,2.58,1.0562,0.75,0.3092,5.0,2.0616,5.0
Si16 Yb20,2,0.0,0.0,0.0,0.0,0.0,0.5556,0.4444,0.0,0.5556,0.0,-0.1111,1.9,0.9441,0.65,0.323,5.0,2.4845,7.5999999999999996
Co2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,1.9,0.7561,0.65,0.2379,5.0,1.8547,15.0
Pd3 Sn3 Yb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,2.2,0.9854,0.35,0.1546,3.0,1.4142,10.0
Tl1 Yb1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2.0,1.62,0.81,0.15,0.075,2.0,1.0,10.0
Yb1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Mg2 Se8 Yb4,3,0.0,0.0,0.1429,0.5714,0.0,0.2857,0.0,0.0,0.2857,0.0,0.0,2.55,1.1212,0.6,0.2671,5.0,1.9272,6.0
Sn2 Yb2,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.5,1.96,0.98,0.3,0.15,3.0,1.5,11.0
Au2 Sb2 Yb2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,1.0,2.54,1.1002,0.4,0.17,3.0,1.2472,9.0
Pt3 Yb1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.25,2.28,0.9873,0.4,0.1732,2.0,0.866,12.0
