formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Ca4 Ge4 O14 Zn2,4,0.0,0.0,0.1667,0.5833,0.0,0.0,0.1667,0.0,0.0,0.0833,-1.3333,2.44,0.9846,1.2,0.4688,2.0,0.986,4.0
O32 Pb8 Si8 Zn8,4,0.0,0.0,0.0,0.5714,0.0,0.0,0.1429,0.0,0.0,0.1429,-1.1429,1.79,0.7551,1.2,0.4464,4.0,1.4142,4.0
Pt3 Zn1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.63,0.2728,0.0,0.0,2.0,0.866,12.0
As1 Li1 Zn1,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,-0.0,1.2,0.491,0.3,0.1247,2.0,0.9428,8.0
Nb4 O16 Zn6,3,0.0,0.0,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.3846,0.0,1.84,0.8807,0.85,0.3855,3.0,1.2065,5.333333333333333
Li6 O24 P6 Zn6,4,0.0,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-1.1429,2.46,0.9634,0.85,0.3533,2.0,0.7284,4.0
As4 H4 Hg4 O20 Zn4,5,0.0,0.0,0.0,0.5556,0.0,0.0,0.1111,0.0,0.0,0.2222,-1.2222,1.79,0.7269,1.25,0.3968,5.0,1.4741,6.0
H12 O12 S2 Zn1,4,0.0,0.0,0.0,0.4444,0.0,0.0,0.0,0.0,0.0,0.037,-1.4074,1.79,0.6268,1.1,0.2784,3.0,0.7608,6.0
Fe12 O24 Zn6,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,-0.2857,1.79,0.8283,0.8,0.388,2.0,0.9897,4.833333333333333
Li12 O8 Zn2,3,0.0,0.5455,0.0,0.3636,0.0,0.0,0.0,0.0,0.0,0.0909,-0.0,2.46,1.1526,0.85,0.403,2.0,0.575,6.0
Ba1 La1 O6 Ta1 Zn1,5,0.0,0.0,0.1,0.6,0.0,0.1,0.0,0.0,0.1,0.3,0.0,2.55,1.0731,1.55,0.5903,6.0,2.1541,6.0
Sr1 Zn5,2,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,2.0,0.7,0.2609,0.65,0.2422,1.0,0.3727,9.0
Sn4 Y4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.74,0.3034,0.45,0.1929,1.0,0.4714,7.0
B2 Ir2 Zn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,2.8,0.55,0.2012,0.5,0.2449,4.0,1.7889,10.0
Eu2 Sn4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,-0.4,1.96,0.7352,0.5,0.1855,4.0,1.4697,6.5
Ag8 O28 P8 Zn4,4,0.0,0.0,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.25,-1.3333,1.79,0.7324,1.0,0.3908,3.0,1.1426,4.0
Ce3 Pd3 Zn3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,1.08,0.4409,0.5,0.2248,4.0,1.6997,8.0
In2 Se4 Zn1,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.9,0.4045,0.4,0.1761,1.0,0.4518,4.0
Ag1 F3 Zn1,3,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,2.33,1.0765,1.1,0.4841,3.0,1.2649,6.0
Au8 Zn24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,0.89,0.3854,0.0,0.0,2.0,0.866,9.0
O16 Sb8 Zn4,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.2857,0.0,0.0,0.1429,-1.7143,1.79,0.7639,0.85,0.4053,3.0,1.3553,6.0
As2 Ba2 Mn1 O2 Zn2,5,0.0,0.0,0.2222,0.2222,0.0,0.0,0.2222,0.0,0.0,0.3333,0.0,2.55,0.8896,1.55,0.525,4.0,1.3333,7.0
P16 Zn8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-1.3333,0.54,0.2546,0.35,0.165,1.0,0.4714,4.0
Ba4 O20 Tm8 Zn4,4,0.0,0.0,0.1111,0.5556,0.0,0.2222,0.0,0.0,0.2222,0.1111,-0.0,2.55,1.098,1.55,0.6017,6.0,2.4944,5.0
Gd4 Ge4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,0.81,0.3314,0.55,0.2392,4.0,1.8856,6.0
C1 Fe3 Zn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.9,0.3138,0.7,0.2757,2.0,0.8,12.0
Sb2 Sr1 Zn2,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,-0.0,1.1,0.402,0.65,0.2441,1.0,0.4899,6.0
O16 P4 Zn6,3,0.0,0.0,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.2308,-1.2308,1.79,0.7831,0.75,0.3152,2.0,0.8356,4.333333333333333
Li1 N1 Zn1,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,2.06,0.8579,0.8,0.3559,2.0,0.9428,8.0
Na4 O12 Si4 Zn2,4,0.0,0.1818,0.0,0.5455,0.0,0.0,0.1818,0.0,0.0,0.0909,-1.4545,2.51,1.0294,1.2,0.4648,2.0,0.6556,5.0
Ir2 O12 Sr6 Zn2,4,0.0,0.0,0.2727,0.5455,0.0,0.0,0.0,0.0,0.0,0.1818,-0.0909,2.49,1.1004,1.4,0.6069,4.0,1.5535,6.0
Ni3 Pr3 Zn3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,0.78,0.3243,0.5,0.2357,4.0,1.8856,8.0
Pr4 Sn4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,0.83,0.3424,0.5,0.216,4.0,1.6997,7.0
Ba4 Gd8 O20 Zn4,4,0.0,0.0,0.1111,0.5556,0.0,0.2222,0.0,0.0,0.2222,0.1111,-0.0,2.55,1.1105,1.55,0.6138,6.0,2.4944,5.0
F8 Sr2 Zn2,3,0.0,0.0,0.1667,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,3.03,1.2794,1.5,0.5848,3.0,1.2134,5.0
Nd2 Zn22,2,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0833,0.9167,2.0833,0.51,0.141,0.5,0.1382,4.0,1.1055,8.7272727272727266
O16 P4 Rb4 Zn4,4,0.0,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-1.1429,2.62,1.0039,1.75,0.6075,3.0,1.1249,4.0
Cs8 F20 Zn6,3,0.0,0.2353,0.0,0.0,0.5882,0.0,0.0,0.0,0.0,0.1765,0.0,3.19,1.4152,2.1,0.8662,4.0,1.6721,5.333333333333333
Ga2 Se4 Zn1,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.9,0.3957,0.2,0.0839,0.0,0.0,5.0
Fe4 O8 Zn2,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,-0.2857,1.79,0.8283,0.8,0.388,2.0,0.9897,4.0
Mo6 O16 Sc2 Zn2,4,0.0,0.0,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.3846,0.0769,2.08,0.7782,1.0,0.4213,3.0,1.3009,5.0
Ca6 Mn2 O12 Zn2,4,0.0,0.0,0.2727,0.5455,0.0,0.0,0.0,0.0,0.0,0.1818,-0.1818,2.44,1.1134,1.2,0.5318,2.0,0.9959,7.0
Sr4 Zn4,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.7,0.35,0.65,0.325,1.0,0.5,6.0
N16 Zn24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-0.0,1.39,0.681,0.7,0.3429,2.0,0.9798,5.0
Ce4 Ni10 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.2222,0.0,0.0,0.2222,0.7778,2.2222,0.79,0.3151,0.5,0.2079,4.0,1.663,9.25
F6 Pt1 Zn1,3,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,-0.25,2.33,0.8866,0.85,0.3681,4.0,1.3919,6.0
I8 Rb4 Zn2,3,0.0,0.2857,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,1.84,0.8149,1.0,0.434,1.0,0.3499,4.0
Ag4 O8 Si2 Zn2,4,0.0,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.375,-1.0,1.79,0.7981,1.0,0.4319,3.0,1.2686,4.0
Pt4 Yb4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,2.28,0.9614,0.4,0.1886,4.0,1.633,7.0
Zn4 Zr2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6667,0.32,0.1508,0.2,0.0943,1.0,0.4714,10.0
P6 Pr2 Zn6,3,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.4286,0.0,1.06,0.3727,0.85,0.2864,5.0,1.6413,5.0
Sb4 Sn2 Zn2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,-2.0,0.4,0.1644,0.1,0.0433,1.0,0.433,4.0
Ho4 Rh4 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.6667,1.05,0.4315,0.4,0.1886,4.0,1.6997,8.0
C4 N8 Zn4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-2.0,1.39,0.5676,0.7,0.2966,2.0,0.866,4.0
Zn44 Zr2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.087,0.32,0.0653,0.2,0.0408,1.0,0.2039,9.2727272727272734
B6 O12 Se1 Zn4,4,0.0,0.0,0.0,0.5652,0.0,0.0,0.2609,0.0,0.0,0.1739,0.0,1.79,0.7691,0.75,0.2812,2.0,0.8249,5.0
Ni1 Sb1 Zn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.3333,0.4,0.1657,0.1,0.0471,1.0,0.4714,8.0
Ge2 Na4 O8 Zn2,4,0.0,0.25,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,-1.0,2.51,1.0818,1.2,0.5074,2.0,0.8292,4.0
Ag1 Au1 Zn2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.89,0.3634,0.25,0.1083,2.0,0.8292,10.0
Ni2 Zn2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.26,0.13,0.0,0.0,0.0,0.0,11.0
C2 O6 Zn2,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,1.79,0.7155,0.75,0.2926,2.0,0.8,6.0
H16 N2 O16 P4 Zn1,5,0.0,0.0,0.0,0.4103,0.0,0.0,0.0,0.0,0.0,0.0256,-1.641,1.79,0.6219,1.1,0.2733,3.0,0.7414,6.0
Ce1 Zn1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,0.53,0.265,0.5,0.25,4.0,2.0,10.0
Pt2 Zn2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.63,0.315,0.0,0.0,2.0,1.0,11.0
H32 O32 S4 Zn4,4,0.0,0.0,0.0,0.4444,0.0,0.0,0.0,0.0,0.0,0.0556,-1.3333,1.79,0.6441,1.1,0.2936,3.0,0.8032,6.0
H8 Li4 O20 P4 Zn4,5,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,-1.2,2.46,0.8675,1.2,0.39,3.0,0.8307,4.0
Fe1 Sb1 Zn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.3333,0.4,0.1636,0.1,0.0408,1.0,0.4714,8.0
V4 Zn5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3333,0.02,0.0099,0.0,0.0,0.0,0.0,9.1999999999999993
As2 Ca1 Zn2,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,-0.0,1.18,0.436,0.65,0.2375,0.0,0.0,6.0
Mo6 O16 Zn4,3,0.0,0.0,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.3846,0.0,1.79,0.7384,0.85,0.3952,3.0,1.3009,4.5
H24 Na24 O76 P16 Zn12,5,0.0,0.1579,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0789,-1.1579,2.51,0.9522,1.55,0.5025,3.0,0.8171,4.0
Al2 Se4 Zn1,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.94,0.4587,0.2,0.0728,1.0,0.4518,5.0
Fe4 Tb2 Zn40,3,0.0,0.0,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.9565,2.0435,1.83,0.3436,0.4,0.0819,4.0,0.8157,9.6999999999999993
Al2 Ce1 Zn2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,2.6,0.53,0.2048,0.6,0.2245,5.0,1.8547,6.0
H4 O10 Se2 Zn2,4,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1111,-1.3333,1.79,0.676,1.1,0.3448,3.0,1.0304,6.0
Li4 O12 Rb4 Zn8,4,0.0,0.2857,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,2.62,1.1091,1.75,0.5986,3.0,1.1952,4.0
Ba5 Ho8 O21 Zn4,4,0.0,0.0,0.1316,0.5526,0.0,0.2105,0.0,0.0,0.2105,0.1053,-0.0,2.55,1.1147,1.55,0.6149,6.0,2.4709,5.0
La1 Zn5,2,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,1.0,2.1667,0.55,0.205,0.6,0.2236,4.0,1.4907,9.0
