formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
F13 Na5 Zr2,3,0.0,0.25,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.1,0.0,3.05,1.4043,1.3,0.5898,3.0,0.9206,6.0
Cs2 F5 O1 Rb1 Zr1,5,0.0,0.3,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.1,0.0,3.19,1.4645,2.1,0.9039,4.0,1.7436,5.0
Pt11 Zr9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9,0.95,0.4726,0.2,0.0995,1.0,0.4975,8.7777777777777786
H2 O6 P2 Zr1,4,0.0,0.0,0.0,0.5455,0.0,0.0,0.0,0.0,0.0,0.0909,-1.4545,2.11,0.7436,1.3,0.3526,4.0,1.0523,6.0
Na4 O22 Si8 Zr2,4,0.0,0.1111,0.0,0.6111,0.0,0.0,0.2222,0.0,0.0,0.0556,-1.7778,2.51,0.964,1.2,0.4211,3.0,0.7638,6.0
P1 Te2 Zr2,3,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.2,0.86,0.3933,0.55,0.2015,2.0,0.8,6.0
F12 K4 Zr2,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,0.0,3.16,1.4163,1.7,0.7213,3.0,1.1331,7.0
Co3 Sn3 Zr3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.63,0.28,0.2,0.0816,1.0,0.4714,10.0
N4 U2 Zr2,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.71,0.8427,1.1,0.505,7.0,2.8723,6.0
F5 K1 O1 Rb2 Zr1,5,0.0,0.3,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.1,0.0,3.16,1.4566,1.85,0.8098,3.0,1.3748,5.0
Ge4 K4 O14 Zr2,4,0.0,0.1667,0.0,0.5833,0.0,0.0,0.1667,0.0,0.0,0.0833,-1.3333,2.62,1.0639,1.6,0.605,3.0,1.1149,6.0
Rh10 Zr6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.375,0.95,0.4599,0.2,0.0968,0.0,0.0,9.3333333333333339
P8 S28 Zr4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-1.6,1.25,0.3814,0.55,0.165,2.0,0.6,7.0
